20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	12	.	la cookie .%mor: det:art|el&f&SG=the ?|cookie .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	12	.	la cookie .%mor: det:art|el&f&SG=the ?|cookie .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	14	.	sándwich .%mor: n|sándwich&m=sandwich .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	14	.	sándwich .%mor: n|sándwich&m=sandwich .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	16	.	el xxx . [+ PI]%mor: det:art|el&m&SG=the .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	16	.	el xxx . [+ PI]%mor: det:art|el&m&SG=the .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	18	.	sí .%mor: co|sí=yes .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	18	.	sí .%mor: co|sí=yes .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	20	.	sopa .%mor: n|sopa&f=soup .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	20	.	sopa .%mor: n|sopa&f=soup .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	22	.	cheeseburger .%mor: ?|cheeseburger .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	22	.	cheeseburger .%mor: ?|cheeseburger .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	24	.	cheeseburger . [+ SR]%mor: ?|cheeseburger .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	24	.	cheeseburger . [+ SR]%mor: ?|cheeseburger .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	26	.	sí .%mor: co|sí=yes .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	26	.	sí .%mor: co|sí=yes .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	28	.	sí . [+ SR]%mor: co|sí=yes .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	28	.	sí . [+ SR]%mor: co|sí=yes .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	30	.	a [*] carne .%mor: aprep|a=to n|carne&f=meat .
20sd04.cha	spa	JacksonThal	CHI	1;09.28	.	.	.	Target_Child	.	.	30	.	a [*] carne .%mor: aprep|a=to n|carne&f=meat .
